1.24+0i,0.0458352955524646-0.028577301560427i
1.25+0i,0.0445294842743189-0.0175153031095997i
1.26+0i,0.0510583808369783-0.0276903557545858i
1.27+0i,0.0479605063156014-0.0241745597308717i
1.28+0i,0.0499332403737314-0.0167191132893965i
1.29+0i,0.0474332018244648-0.0305388168264905i
1.3+0i,0.0458397892816121-0.0142175120907239i
1.31+0i,0.0484985678068421-0.0268186896619088i
1.32+0i,0.04476214296207-0.020794144919871i
1.33+0i,0.0497034351150192-0.0204441449198715i
1.34+0i,0.047483201824465-0.0267555178926181i
1.35+0i,0.0491891351543778-0.0157145070738383i
1.36+0i,0.0492348949332425-0.0286716966225123i
1.37+0i,0.0459974057766577-0.0132201923692485i
1.38+0i,0.0519001567333625-0.022109424633034i
1.39+0i,0.0479225283268617-0.0227261963773409i
1.4+0i,0.0480790836550958-0.0183962703984958i
1.41+0i,0.0474153864481-0.031515401600934i
1.42+0i,0.0465273074221081-0.0152256030281709i
1.43+0i,0.0489909481667948-0.0277044535808048i
1.44+0i,0.0468506436217992-0.019951049493741i
1.45+0i,0.0480581769926322-0.0208760246619087i
1.46+0i,0.0440631159159481-0.0264021591534629i
1.47+0i,0.048521328905165-0.0164188855498589i
1.48+0i,0.0488055237542993-0.0330425908389436i
1.49+0i,0.0434848384709339-0.0181078262010734i
1.5+0i,0.0489311915989662-0.0244305427244511i
1.51+0i,0.0466524988806528-0.0224141743660811i
1.52+0i,0.0486420368120022-0.0152093002592617i
1.53+0i,0.0488586689697895-0.0288745151559257i
1.54+0i,0.0480353983595567-0.0158711143877443i
1.55+0i,0.0492996114388991-0.0289761761357905i
1.56+0i,0.0440571424877251-0.0200243765662824i
1.57+0i,0.0490326950792678-0.0198906884623455i
1.58+0i,0.0459985113445339-0.0260434958813563i
1.59+0i,0.0463249808658519-0.0158656889607813i
1.6+0i,0.0497454352646785-0.0296104829191672i
1.61+0i,0.0458075725290637-0.0147566199807345i
1.62+0i,0.0484646809472779-0.0241554293013982i
1.63+0i,0.0449919147602349-0.0226499382849769i
1.64+0i,0.0470616509849121-0.018622309878477i
1.65+0i,0.045212543581291-0.0310723575483928i
1.66+0i,0.046297880219062-0.0164402126883048i
1.67+0i,0.0513496023117495-0.0304136942762839i
1.68+0i,0.0474304154199657-0.018511349412313i
1.69+0i,0.0516276996936442-0.0192184821639235i
1.7+0i,0.0481875894276388-0.0270821026670604i
1.71+0i,0.0481576702474353-0.0188520816766412i
1.72+0i,0.0479255532005068-0.0310463501973242i
1.73+0i,0.0440283396050072-0.0151740995478713i
1.74+0i,0.0487420689409142-0.0265919924010574i
1.75+0i,0.0467176661074028-0.0242256240426873i
1.76+0i,0.0497817368934282-0.0201082924097588i
1.77+0i,0.0474005780323415-0.0300750553616676i
1.78+0i,0.0494576611202852-0.0137889743390531i
1.79+0i,0.0521621497607125-0.0304353282400489i
1.8+0i,0.0473578034136023-0.0203780941164273i
1.81+0i,0.0524159797972698-0.0219456392730229i
1.82+0i,0.0483555058412565-0.0271469110828218i
1.83+0i,0.0496228053452732-0.0153450550510058i
1.84+0i,0.0506156634665115-0.0299168344030577i
1.85+0i,0.048901073663137-0.0162543967837411i
1.86+0i,0.0505441447558714-0.0276305991867616i
1.87+0i,0.0442539169147373-0.0251679162496193i
1.88+0i,0.047293101123816-0.0203619778309872i
1.89+0i,0.0453516423441536-0.0326963180684094i
1.9+0i,0.0487771131431177-0.0176456324743796i
1.91+0i,0.0527170119801697-0.031321328132203i
1.92+0i,0.0463800418409348-0.0209667890551479i
1.93+0i,0.0514140589489565-0.0231194936670702i
1.94+0i,0.0466189978722723-0.0293456281586243i
1.95+0i,0.0475685972530493-0.0203988946529194i
1.96+0i,0.0494011554557141-0.0350290988079303i
1.97+0i,0.0475924425199447-0.0180463765244717i
1.98+0i,0.052287073555292-0.0271066355217345i
